Term	Thai
card_animal_pen_description	สามารถเลี้ยงสัตว์ได้ 5 ตัว
card_animal_pen_name	คอกสัตว์
card_apple_description	สุขภาพดี ห่างไกลหมอ
card_apple_name	แอปเปิล
card_apple_tree_description	ต้นไม้..มีแอปเปิ้ลอยู่ด้วย
card_apple_tree_name	ต้นแอปเปิ้ล
card_apple_tree_status	ซัดต้นแอปเปิ้ล
card_bear_description	อ่อนโยนแต่อันตราย
card_bear_name	หมี
card_berry_description	อาหารง่ายๆ ที่พบใน พุ่มเบอร์รี่
card_berry_name	เบอร์รี่
card_berrybush_description	พุ่มไม้ที่มีผลเบอร์รี่แสนอร่อยอยู่ในนั้น
card_berrybush_name	พุ่มเบอร์รี่
card_berrybush_status	เก็บเบอร์รี่
card_bone_description	ความจริง: โครงกระดูกประกอบด้วยกระดูกหลายชิ้น
card_bone_name	กระดูก
card_brick_description	วัสดุก่อสร้างที่แข็งแกร่ง
card_brick_name	อิฐ
card_brickyard_description	เปลี่ยนหินเป็นอิฐอย่างรวดเร็ว
card_brickyard_name	โรงอิฐ
card_campfire_description	สามารถใช้ปรุงอาหารได้ - ดูอบอุ่นและสบาย
card_campfire_name	แคมป์ไฟ
card_carrot_description	ผักที่กรุบกรอบที่สุด
card_carrot_name	แครอท
card_catacombs_description	ลือกันว่ามีวัตถุลึกลับ
card_catacombs_name	สุสานใต้ดิน
card_catacombs_status	สำรวจสุสานใต้ดิน
card_chicken_description	สันนิษฐานว่าสืบเชื้อสายมาจากไดโนเสาร์ แต่ดูไม่จริงเลย
card_chicken_name	ไก่
card_cooked_meat_description	มันสุกปานกลาง
card_cooked_meat_name	เนื้อปรุงสุก
card_corpse_description	มนุษย์ที่ตายแล้ว
card_corpse_name	ศพ
card_cow_description	แม่ศรีนวลลลล~~
card_cow_name	วัว
card_demon_description	บอสสุดท้าย
card_demon_name	ปีศาจ
card_dog_description	เพื่อนที่ดีที่สุดที่แท้จริงของมนุษยชาติ ทำทุกอย่างที่มนุษย์ทำได้ แต่ช้ากว่า!
card_dog_name	สุนัข
card_egg_description	ไม่สามารถรับประทานดิบได้: เพราะแกเลย เชื้อ Salmonella
card_egg_name	ไข่
card_explorer_description	สำรวจสถานที่ได้เร็วมาก แต่ช้ากว่าเล็กน้อยในงานอื่น
card_explorer_name	นักสำรวจ
card_farm_description	อาคารขั้นสูงสำหรับปลูกอาหาร
card_farm_name	ฟาร์ม
card_flint_description	ใช้ในจุดไฟ
card_flint_name	หินเหล็กไฟ
card_forest_description	สถานที่แปลกตาที่มีสัตว์ประหลาดอยู่ด้วย
card_forest_name	ป่า
card_forest_status	สำรวจป่า
card_frittata_description	อร่อย! ลองกินมันด้วยส้อมดูสิ
card_frittata_name	ฟริตทาทา
card_fruit_salad_description	อาหารโบราณสุดคลาสสิก
card_fruit_salad_name	สลัดผลไม้
card_garden_description	อาคารเรียบง่ายสำหรับปลูกอาหาร
card_garden_name	สวน
card_giant_rat_description	หนูเล็กที่กลายเป็นรุ่นใหญ่
card_giant_rat_name	หนูยักษ์
card_goblet_description	วัตถุลึกลับ
card_goblet_name	ถ้วยทอง
card_goblin_description	สัตว์ประหลาดที่ดูจะท่าทางไม่ดี
card_goblin_name	ผี
card_gold_description	เพื่อนที่ดีที่สุดของมนุษยชาติ
card_gold_name	เหรียญ
card_graveyard_description	แตกต่างจากพื้นที่ทั่วไปมาก
card_graveyard_name	สุสาน
card_graveyard_status	สำรวจสุสาน
card_house_description	เป็นสถานที่ที่ดีในอยู่อาศัย
card_house_name	บ้าน
card_iron_bar_description	วัสดุเงางามและมีคุณค่า
card_iron_bar_name	แท่งเหล็ก
card_iron_deposit_description	มีส่วนผสมของแร่เหล็ก
card_iron_deposit_name	สินแร่เหล็ก
card_iron_deposit_status	เจาะสินแร่
card_iron_ore_description	สามารถเปลี่ยนเป็นแท่งเหล็กได้
card_iron_ore_name	แร่เหล็ก
card_key_description	อยากรู้ว่าทำไปเพื่ออะไร..
card_key_name	กุญแจ
card_kid_description	เด็กน้อย. จำเป็นต้องมีบ้านที่จะเติบโต
card_kid_name	เด็ก
card_lumbercamp_description	ทรัพยากรไม้ไม่จำกัด
card_lumbercamp_name	ค่ายไม้
card_lumbercamp_status	ค่ายตัดไม้
card_map_description	ใช้แผนที่เพื่อเปลี่ยนชาวบ้านให้เป็นนักสำรวจ
card_map_name	แผนที่
card_market_name	ตลาด
card_militia_name	ทหารอาสา
card_milk_description	สดจากวัว
card_milk_name	น้ำนม
card_milkshake_description	เป็นรสเบอร์รี่
card_milkshake_name	มิลค์เชค
card_mountain_description	เนินเขาที่มีขอบแหลม
card_mountain_name	ภูเขา
card_mountain_status	สำรวจภูเขา
card_mushroom_description	เห็ดที่กินได้
card_mushroom_name	เห็ด
card_old_tome_description	หนังสือที่มีไอเดียบางอย่างอยู่ในนั้น
card_old_tome_name	หนังสือเก่า
card_old_tome_status	กำลังศึกษาหนังสือเล่มเก่า
card_old_village_description	ได้ข่าวว่ายังมีคนอาศัยอยู่ที่นี่..
card_old_village_name	หมู่บ้านเก่า
card_old_village_status	สำรวจหมู่บ้านเก่า
card_omelette_description	ไข่เจียวหอมหวาน น่ากิน
card_omelette_name	ไข่เจียว
card_onion_description	จะทานดิบหรือปรุงก็ได้แล้วแต่ชอบ
card_onion_name	หัวหอม
card_plains_description	กลางแจ้ง
card_plains_name	ที่ราบ
card_plains_status	สำรวจที่ราบ
card_plank_description	วัสดุก่อสร้างที่แข็งแกร่ง
card_plank_name	ไม้กระดาน
card_poop_description	มันดูเหม็น
card_poop_name	อึ
card_potato_description	เนื้อเนียนและเป็นแป้ง แต่ควรปรุงให้สุกก่อน
card_potato_name	มันฝรั่ง
card_quarry_description	ทรัพยากรหินไม่จำกัด
card_quarry_name	เหมืองหิน
card_quarry_status	ขุดเหมืองหิน
card_rabbit_description	เครื่องอึนุ่มนิ่ม
card_rabbit_name	กระต่าย
card_rat_description	หนูยักษ์ที่ยังเป็นรุ่นเล็ก
card_rat_name	หนู
card_raw_meat_description	ควรปรุงก่อน
card_raw_meat_name	เนื้อสด
card_rock_description	มันดูแข็งแกร่งแต่ก็เจาะได้
card_rock_name	หิน
card_rock_status	เจาะหิน
card_sawmill_description	เปลี่ยนไม้ให้เป็นไม้กระดานอย่างรวดเร็ว
card_sawmill_name	โรงเลื่อย
card_shed_description	เพิ่มขีดจำกัด์ดของคุณ 4
card_shed_name	โรงเก็บของ
card_skeleton_description	สัตว์ประหลาดกระดูก
card_skeleton_name	โครงกระดูก
card_slime_description	สไลม์เล็กๆ 3 ตัวที่รวมเป็นตัวเดียวกัน
card_slime_name	สไลม์
card_small_slime_description	สารเหนียวที่เต็มไปด้วยของสารพัด
card_small_slime_name	สไลม์ตัวเล็ก
card_soil_description	วิธีปลูกอาหารแบบง่ายๆ และช้าๆ
card_soil_name	ดิน
card_spear_description	แท่งไม้กับปลายแหลม
card_spear_name	หอก
card_stew_description	มื้ออาหารแสนอร่อย
card_stew_name	สตูว์
card_stick_description	เคยเป็นส่วนหนึ่งของต้นไม้
card_stick_name	แท่งไม้
card_stone_description	ทรัพยากรที่เรียบง่าย
card_stone_name	หิน
card_stove_description	ปรุงอาหารได้เร็วกว่าแคมป์ไฟ
card_stove_name	เตา
card_sword_description	แท่งเหล็กที่มีปลายแหลม
card_sword_name	ดาบ
card_swordsman_name	นักดาบ
card_temple_description	สถานที่สักะ มันต้องสิ่งประดิษฐ์ลึกลับ
card_temple_name	วัด
card_travelling_cart_description	ให้ฉัน 5 เหรียญ แล้วฉันจะให้์ดคุณ!
card_travelling_cart_name	รถเข็นเดินทาง
card_treasure_chest_description	มันถูกล็อค
card_treasure_chest_name	หีบสมบัติ
card_tree_description	ทำจากไม้ท่อนและกิ่งไม้
card_tree_name	ต้นไม้
card_tree_status	เจาะต้นไม้
card_villager_description	เหล่าผู้คนที่จำใจทำงานหนัก
card_villager_name	ชาวบ้าน
card_warehouse_description	เพิ่มขีดจำกัด์ดของคุณ 14
card_warehouse_name	คลังสินค้า
card_wolf_description	มันดูอันตราย
card_wolf_name	หมาป่า
card_wood_description	ทรัพยากรที่เรียบง่าย
card_wood_name	ไม้
cardtype_food	อาหาร
cardtype_ideas	ไอเดีย
cardtype_locations	สถานที่
cardtype_mobs	สิ่งมีชีวิต
cardtype_resources	ทรัพยากร
cardtype_structures	สิ่งปลูกสร้าง
idea_animalpen_status_0	สร้างคอกสัตว์
idea_brick_status_0	สร้างอิฐ
idea_brickyard_status_0	สร้างโรงอิฐ
idea_campfire_status_0	จุดกองไฟ
idea_carving_status_0	ตัดเป็นกิ่งไม้
idea_chicken_status_0	ไก่กำลังขัน
idea_coinchest_status_0	ทำหีบเหรียญ
idea_cookedmeat_status_0	ปรุงอาหารเนื้อสัตว์
idea_farm_status_0	สร้างฟาร์ม
idea_frittata_status_0	ทำอาหาร Frittata
